instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Auction/cat_paths_60_150_0001.uai,32.89,60.25,1200.0,1.59,1.46
WCSP/Auction/cat_sched_60_130_0004.uai,6.48,8.75,1200.0,4.71,4.7
WCSP/Auction/cat_paths_60_100_0002.uai,0.67,2.15,1200.0,0.24,0.2
WCSP/Auction/cat_paths_60_100_0005.uai,1.49,2.58,1200.0,0.24,0.21
WCSP/Auction/cat_sched_60_70_0001.uai,0.19,1.56,1200.0,1.81,1.71
WCSP/Auction/cat_sched_60_100_0001.uai,0.4,2.1,984.45,2.54,2.38
WCSP/Auction/cat_sched_60_180_0005.uai,109.97,114.02,1200.0,7.04,6.0
WCSP/Auction/cat_paths_60_70_0004.uai,0.02,0.51,1200.0,0.09,0.08
WCSP/Auction/cat_sched_60_110_0003.uai,3.09,4.28,1200.0,2.78,3.0
WCSP/Auction/cat_sched_60_180_0003.uai,58.19,63.46,1200.0,6.38,5.17
WCSP/Auction/cat_paths_60_140_0004.uai,63.26,48.39,1200.0,0.68,0.58
WCSP/Auction/cat_sched_60_80_0005.uai,0.37,2.06,989.13,2.13,1.95
WCSP/Auction/cat_paths_60_120_0001.uai,25.32,18.24,1200.0,0.54,0.44
WCSP/Auction/cat_paths_60_70_0003.uai,0.43,1.34,1200.0,0.15,0.13
WCSP/Auction/cat_sched_60_150_0002.uai,7.95,9.87,1200.0,3.25,2.55
WCSP/Auction/cat_sched_60_200_0003.uai,29.17,30.91,1200.0,9.11,7.54
WCSP/Auction/cat_paths_60_140_0002.uai,71.69,81.01,1200.0,0.53,0.49
WCSP/Auction/cat_sched_60_120_0003.uai,4.91,7.18,1082.59,4.2,3.24
WCSP/Auction/cat_paths_60_70_0002.uai,0.17,0.93,1200.0,0.14,0.12
WCSP/Auction/cat_paths_60_150_0006.uai,93.74,66.08,1200.0,2.0,1.61
WCSP/Auction/cat_paths_60_160_0006.uai,1200.0,1190.39,1200.0,1.17,0.94
WCSP/Auction/cat_paths_60_150_0007.uai,88.48,90.45,1200.0,1.87,1.59
WCSP/Auction/cat_sched_60_200_0002.uai,74.25,79.07,1200.0,8.65,7.31
WCSP/Auction/cat_paths_60_150_0003.uai,404.69,350.69,1200.0,0.74,0.6
WCSP/Auction/cat_paths_60_150_0002.uai,38.84,64.97,1200.0,0.78,0.68
WCSP/Auction/cat_paths_60_140_0003.uai,46.08,51.22,1200.0,0.81,0.7
WCSP/Auction/cat_sched_60_70_0002.uai,1.15,2.76,1200.0,2.3,2.04
WCSP/Auction/cat_paths_60_120_0002.uai,11.74,12.44,1200.0,1.03,0.85
WCSP/Auction/cat_sched_60_170_0004.uai,28.67,32.25,1123.85,4.59,4.01
WCSP/Auction/cat_paths_60_140_0001.uai,25.06,31.68,1200.0,0.83,0.65
WCSP/Auction/cat_sched_60_170_0002.uai,52.27,52.88,1200.0,4.79,3.77
WCSP/Auction/cat_paths_60_140_0006.uai,65.45,47.43,1200.0,1.0,0.72
WCSP/Auction/cat_paths_60_90_0000.uai,0.85,1.75,1200.0,0.27,0.14
