instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/CELAR/graph13_r.uai,0.35209256398370276,0.355103907623092,0.36787944117144233,0.11834119623413224,0.1173155843997302
WCSP/CELAR/CELAR6-SUB2_r.uai,0.994954438490933,0.9911973059225943,0.3544700253390111,0.2546975278771102,0.049787068367863944
WCSP/CELAR/scen06_r.uai,0.523452842803656,0.7882158279147619,0.3595036842501627,0.21368642012923797,0.04982649873611657
WCSP/CELAR/scen08_r.uai,0.3477965297170043,0.36787944117144233,0.35150320581248984,0.12105725461452478,-1.0
WCSP/CELAR/CELAR6-SUB3_r.uai,0.9842585457794797,0.9661607990291594,0.35735550379120823,0.05002286890597402,0.056854634125538206
WCSP/Auction/cat_paths_60_150_0004.uai,0.8511005519378665,0.8304189055753606,0.049787068367863944,0.9995417716853437,0.9995584308536979
WCSP/Auction/cat_sched_60_140_0003.uai,0.9816618940419222,0.9815719124925191,0.37701951334668243,0.9961075951231319,0.9969712625740748
WCSP/Auction/cat_sched_60_150_0003.uai,0.9729476508909239,0.9723073378136015,0.40743114360249666,0.9973867538214793,0.9973784422998289
WCSP/Auction/cat_sched_60_150_0004.uai,0.9968383419339711,0.9950539389097202,0.3992137331998467,0.9956843393434286,0.9966556049893484
WCSP/Auction/cat_paths_60_90_0001.uai,0.9996084100247095,0.9985676933982808,0.049787068367863944,0.9998166834711952,0.9998000199986667
WCSP/Auction/cat_sched_60_130_0001.uai,0.9926521285804394,0.9914947097227105,0.39248773133242154,0.9974283124686877,0.9975862511213086
WCSP/Auction/cat_paths_60_110_0000.uai,0.9980435829502774,0.9974864974839615,0.049787068367863944,0.9997750253106017,0.9998250153116068
WCSP/Auction/cat_paths_60_120_0006.uai,0.9886400174687426,0.9910981911478233,0.049787068367863944,0.9995417716853437,0.9996084100247095
WCSP/Auction/cat_paths_60_130_0005.uai,0.992660400715978,0.9898765901875157,0.049787068367863944,0.9997083758639206,0.9997750253106017
WCSP/Auction/cat_paths_60_140_0007.uai,0.9881458210194164,0.9872157550127615,0.049787068367863944,0.9995417716853437,0.9996084100247095
WCSP/Auction/cat_paths_60_150_0000.uai,0.9003170199131719,0.9121431547180904,0.049787068367863944,0.9993502112042366,0.9994668088636083
WCSP/Auction/cat_sched_60_170_0003.uai,0.9382786242239206,0.9322462025711439,0.36787944117144233,0.9941090865436906,0.9943576448838244
WCSP/Auction/cat_paths_60_100_0000.uai,0.9983513605016212,0.9977442147828627,0.049787068367863944,0.9997916883665486,0.9998083517002154
WCSP/Auction/cat_paths_60_150_0001.uai,0.9729638668202378,0.9510312723455092,0.049787068367863944,0.9986758774249279,0.998784073172146
WCSP/Auction/cat_sched_60_130_0004.uai,0.9946145537913912,0.9927348530379589,0.36787944117144233,0.9960826927445348,0.9960909934682273
WCSP/Auction/cat_paths_60_100_0002.uai,0.9994418225057174,0.9982099374099224,0.049787068367863944,0.9998000199986667,0.9998333472214507
WCSP/Auction/cat_paths_60_100_0005.uai,0.9987591038824342,0.9978523095944941,0.049787068367863944,0.9998000199986667,0.9998250153116068
WCSP/Auction/cat_sched_60_70_0001.uai,0.9998416792007273,0.9987008446339523,0.36787944117144233,0.9984928036296773,0.9985760148303984
WCSP/Auction/cat_sched_60_100_0001.uai,0.9996667222160499,0.9982515303571615,0.44026652359953955,0.9978855718925158,0.9980186321725897
WCSP/Auction/cat_sched_60_180_0005.uai,0.9124320457890899,0.909357778378958,0.36787944117144233,0.9941505086185838,0.9950124791926823
WCSP/Auction/cat_paths_60_70_0004.uai,0.9999833334722215,0.999575090299707,0.049787068367863944,0.9999250028124297,0.9999333355555061
WCSP/Auction/cat_sched_60_110_0003.uai,0.9974283124686877,0.996439686333633,0.36787944117144233,0.9976860147345182,0.9975031223974601
WCSP/Auction/cat_sched_60_180_0003.uai,0.9526652781500743,0.9484906632715917,0.049787068367863944,0.9946974417911592,0.9957009342207078
WCSP/Auction/cat_paths_60_140_0004.uai,0.9486487582230169,0.9604772333207944,0.049787068367863944,0.9994334938585661,0.9995167834534058
WCSP/Auction/cat_sched_60_80_0005.uai,0.9996917141965037,0.9982848059627637,0.43855282803595896,0.9982265743808536,0.9983763195976212
WCSP/Auction/cat_paths_60_120_0001.uai,0.9791210475689343,0.9849149369160675,0.049787068367863944,0.9995501012348142,0.9996334005473403
WCSP/Auction/cat_paths_60_70_0003.uai,0.9996417308603878,0.9988839565735501,0.049787068367863944,0.9998750078121745,0.9998916725345103
WCSP/Auction/cat_sched_60_150_0002.uai,0.9933968969300948,0.9918087327651469,0.36787944117144233,0.9972953308926606,0.9978772562140654
WCSP/Auction/cat_sched_60_200_0003.uai,0.9759847347334347,0.9745705823763015,0.049787068367863944,0.9924370772506489,0.9937363655257954
WCSP/Auction/cat_paths_60_140_0002.uai,0.9420078541829822,0.9347199312508114,0.049787068367863944,0.9995584308536979,0.9995917500233761
WCSP/Auction/cat_sched_60_120_0003.uai,0.9959166927961239,0.9940345311580616,0.40569309319334124,0.9965061178604149,0.9973036417217132
WCSP/Auction/cat_paths_60_70_0002.uai,0.9998583433675817,0.9992253002349343,0.049787068367863944,0.9998833401386242,0.9999000049998333
WCSP/Auction/cat_paths_60_150_0006.uai,0.9248565203217612,0.9464220510468739,0.049787068367863944,0.9983347214509387,0.998659232965675
WCSP/Auction/cat_paths_60_160_0006.uai,0.36787944117144233,0.37083737059674104,0.049787068367863944,0.9990254751580611,0.9992169733921276
WCSP/Auction/cat_paths_60_150_0007.uai,0.9289193726486847,0.9273956477449904,0.049787068367863944,0.998442880237591,0.9986758774249279
WCSP/Auction/cat_sched_60_200_0002.uai,0.9400003794950789,0.93623228396205,0.049787068367863944,0.9928175843894705,0.9939268499166921
WCSP/Auction/cat_paths_60_150_0003.uai,0.7137363327785273,0.7465880887154188,0.049787068367863944,0.9993835234331442,0.9995001249791693
WCSP/Auction/cat_paths_60_150_0002.uai,0.96815152809631,0.9472978964601463,0.049787068367863944,0.9993502112042366,0.9994334938585661
WCSP/Auction/cat_paths_60_140_0003.uai,0.9623279327216104,0.958214776707568,0.049787068367863944,0.9993252277612509,0.9994168367724778
WCSP/Auction/cat_sched_60_70_0002.uai,0.9990421257214014,0.9977026429733321,0.36787944117144233,0.9980851689659364,0.9983014441815146
