instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Auction/cat_sched_60_150_0004.uai,9.0156,9.0156,9.0156,9.0156,9.0156
WCSP/Auction/cat_paths_60_90_0001.uai,7.26568,7.26568,7.26718,7.26568,7.26568
WCSP/Auction/cat_sched_60_130_0001.uai,8.82806,8.82806,8.82806,8.82806,8.82806
WCSP/Auction/cat_paths_60_110_0000.uai,7.45307,7.45307,7.56494,7.45307,7.45307
WCSP/Auction/cat_paths_60_120_0006.uai,7.52779,7.52779,7.70746,7.52779,7.52779
WCSP/Auction/cat_paths_60_130_0005.uai,7.26268,7.26268,7.32727,7.26268,7.26268
WCSP/Auction/cat_paths_60_140_0007.uai,7.37449,7.37449,7.54307,7.37449,7.37449
WCSP/Auction/cat_paths_60_150_0000.uai,7.61006,7.61006,7.78239,7.61006,7.61006
WCSP/Auction/cat_sched_60_170_0003.uai,8.97342,8.97342,8.97342,8.97342,8.97342
WCSP/Auction/cat_paths_60_100_0000.uai,7.42036,7.42036,7.50638,7.42036,7.42036
WCSP/Auction/cat_paths_60_150_0001.uai,7.73498,7.73498,7.86739,7.73498,7.73498
WCSP/Auction/cat_sched_60_130_0004.uai,9.03024,9.03024,9.03024,9.03024,9.03024
WCSP/Auction/cat_paths_60_100_0002.uai,7.1273,7.1273,7.20474,7.1273,7.1273
WCSP/Auction/cat_paths_60_100_0005.uai,7.36217,7.36217,7.42467,7.36217,7.36217
WCSP/Auction/cat_sched_60_70_0001.uai,9.00197,9.00197,9.00197,9.00197,9.00197
WCSP/Auction/cat_sched_60_100_0001.uai,9.02786,9.02786,9.02786,9.02786,9.02786
WCSP/Auction/cat_sched_60_180_0005.uai,9.01676,9.01676,9.01676,9.01676,9.01676
WCSP/Auction/cat_paths_60_70_0004.uai,6.63901,6.63901,6.66464,6.63901,6.63901
WCSP/Auction/cat_sched_60_110_0003.uai,8.9986,8.9986,8.9986,8.9986,8.9986
WCSP/Auction/cat_sched_60_180_0003.uai,8.96245,8.96245,8.96966,8.96245,8.96245
WCSP/Auction/cat_paths_60_140_0004.uai,7.71418,7.71418,7.82881,7.71418,7.71418
WCSP/Auction/cat_sched_60_80_0005.uai,8.96736,8.96736,8.96736,8.96736,8.96736
WCSP/Auction/cat_paths_60_120_0001.uai,7.7075,7.7075,7.72391,7.7075,7.7075
WCSP/Auction/cat_paths_60_70_0003.uai,7.4139,7.4139,7.43353,7.4139,7.4139
WCSP/Auction/cat_sched_60_150_0002.uai,9.01164,9.01164,9.01164,9.01164,9.01164
WCSP/Auction/cat_sched_60_200_0003.uai,8.99011,8.99011,8.99251,8.99011,8.99011
WCSP/Auction/cat_paths_60_140_0002.uai,7.7417,7.7417,7.80935,7.7417,7.7417
WCSP/Auction/cat_sched_60_120_0003.uai,9.00632,9.00632,9.00632,9.00632,9.00632
WCSP/Auction/cat_paths_60_70_0002.uai,7.22823,7.22823,7.26109,7.22823,7.22823
WCSP/Auction/cat_paths_60_150_0006.uai,7.71307,7.71307,7.83297,7.71307,7.71307
WCSP/Auction/cat_paths_60_160_0006.uai,7.6363,7.6363,7.82641,7.6363,7.6363
WCSP/Auction/cat_paths_60_150_0007.uai,7.72865,7.72865,7.88264,7.72865,7.72865
WCSP/Auction/cat_sched_60_200_0002.uai,8.99902,8.99902,9.01234,8.99902,8.99902
WCSP/Auction/cat_paths_60_150_0003.uai,7.80226,7.80226,7.87889,7.80226,7.80226
WCSP/Auction/cat_paths_60_150_0002.uai,7.55729,7.55729,7.64049,7.55729,7.55729
WCSP/Auction/cat_paths_60_140_0003.uai,7.66152,7.66152,7.73285,7.66152,7.66152
WCSP/Auction/cat_sched_60_70_0002.uai,8.82475,8.82475,8.82475,8.82475,8.82475
WCSP/Auction/cat_paths_60_120_0002.uai,7.66905,7.66905,7.73699,7.66905,7.66905
WCSP/Auction/cat_sched_60_170_0004.uai,8.95147,8.95147,8.95147,8.95147,8.95147
WCSP/Auction/cat_paths_60_140_0001.uai,7.55992,7.55992,7.74358,7.55992,7.55992
WCSP/Auction/cat_sched_60_170_0002.uai,8.9025,8.9025,8.9025,8.9025,8.9025
WCSP/Auction/cat_paths_60_140_0006.uai,7.78345,7.78345,7.87234,7.78345,7.78345
WCSP/Auction/cat_paths_60_90_0000.uai,7.26254,7.26254,7.4415,7.26254,7.26254
WCSP/Auction/cat_sched_60_100_0002.uai,8.9602,8.9602,8.9602,8.9602,8.9602
WCSP/Auction/cat_sched_60_120_0001.uai,8.94887,8.94887,8.94887,8.94887,8.94887
WCSP/Auction/cat_sched_60_190_0005.uai,8.90857,8.90857,8.94124,8.90857,8.90857
WCSP/Auction/cat_sched_60_70_0004.uai,8.94123,8.94123,8.94123,8.94123,8.94123
WCSP/Auction/cat_paths_60_130_0002.uai,7.31232,7.31232,7.38208,7.31232,7.31232
WCSP/Auction/cat_paths_60_70_0005.uai,7.1996,7.1996,7.27224,7.1996,7.1996
WCSP/Auction/cat_sched_60_70_0005.uai,9.01288,9.01288,9.01288,9.01288,9.01288
WCSP/Auction/cat_sched_60_200_0004.uai,8.93348,8.93348,8.96498,8.93348,8.93348
WCSP/Auction/cat_paths_60_130_0007.uai,7.41934,7.41934,7.51985,7.41934,7.41934
WCSP/Auction/cat_paths_60_170_0003.uai,7.90733,7.90733,8.06117,7.90733,7.90733
WCSP/Auction/cat_sched_60_150_0005.uai,8.9844,8.9844,8.9844,8.9844,8.9844
WCSP/Auction/cat_paths_60_160_0000.uai,7.52246,7.52246,7.61667,7.52246,7.52246
WCSP/Auction/cat_sched_60_170_0000.uai,8.91901,8.91901,8.9256,8.91901,8.91901
WCSP/Auction/cat_paths_60_100_0007.uai,7.42368,7.42368,7.46284,7.42368,7.42368
WCSP/Auction/cat_paths_60_120_0000.uai,7.35112,7.35112,7.45151,7.35112,7.35112
WCSP/Auction/cat_paths_60_130_0001.uai,7.83785,7.83785,7.94278,7.83785,7.83785
WCSP/Auction/cat_paths_60_170_0004.uai,7.76949,7.76949,7.92048,7.76949,7.76949
WCSP/Auction/cat_paths_60_160_0002.uai,7.56937,7.56937,7.72001,7.56937,7.56937
WCSP/Auction/cat_sched_60_160_0002.uai,8.91187,8.91187,8.93705,8.91187,8.91187
WCSP/Auction/cat_paths_60_70_0007.uai,7.06998,7.06998,7.13436,7.06998,7.06998
WCSP/Auction/cat_sched_60_170_0001.uai,8.71531,8.71531,8.80874,8.71531,8.71531
WCSP/Auction/cat_sched_60_180_0001.uai,8.89532,8.89532,8.9513,8.89532,8.89532
WCSP/Auction/cat_sched_60_200_0001.uai,8.9978,8.9978,8.9978,8.9978,8.9978
WCSP/Auction/cat_sched_60_80_0000.uai,8.94612,8.94612,8.94612,8.94612,8.94612
WCSP/Auction/cat_paths_60_80_0005.uai,7.29652,7.29652,7.3413,7.29652,7.29652
WCSP/Auction/cat_paths_60_120_0004.uai,7.39371,7.39371,7.54102,7.39371,7.39371
WCSP/Auction/cat_paths_60_90_0005.uai,7.14411,7.14411,7.22098,7.14411,7.14411
WCSP/Auction/cat_sched_60_90_0000.uai,8.96545,8.96545,8.96545,8.96545,8.96545
WCSP/Auction/cat_paths_60_80_0003.uai,7.20237,7.20237,7.29596,7.20237,7.20237
WCSP/Auction/cat_sched_60_100_0000.uai,9.01126,9.01126,9.01126,9.01126,9.01126
WCSP/Auction/cat_sched_60_100_0003.uai,9.01057,9.01057,9.01057,9.01057,9.01057
WCSP/Auction/cat_sched_60_100_0005.uai,8.87539,8.87539,8.87539,8.87539,8.87539
WCSP/Auction/cat_paths_60_100_0004.uai,7.47662,7.47662,7.50821,7.47662,7.47662
WCSP/Auction/cat_sched_60_90_0001.uai,9.02536,9.02536,9.02536,9.02536,9.02536
WCSP/Auction/cat_sched_60_160_0001.uai,8.98854,8.98854,8.98854,8.98854,8.98854
WCSP/Auction/cat_paths_60_170_0007.uai,7.61216,7.61216,7.64765,7.61216,7.61216
WCSP/Auction/cat_paths_60_120_0007.uai,7.21029,7.21029,7.35342,7.21029,7.21029
WCSP/Auction/cat_sched_60_110_0005.uai,8.91204,8.91204,8.91204,8.91204,8.91204
WCSP/Auction/cat_sched_60_140_0002.uai,9.00374,9.00374,9.00374,9.00374,9.00374
WCSP/Auction/cat_sched_60_200_0005.uai,8.98275,8.98275,8.98275,8.98275,8.98275
WCSP/Auction/cat_paths_60_110_0005.uai,7.69589,7.69589,7.7711,7.69589,7.69589
